bloque_tiempo,hora_post_evento,zona_origen,zona_destino,tipo_destino,nuevos_desplazados_media,ic95_inferior,ic95_superior
1,6,Z1,Z1,refugio_oficial,3250.0,3172.5,3329.1874999999995
1,6,Z1,Z2,otra_zona,552.5,516.6666666666666,588.3333333333334
1,6,Z1,Z3,otra_zona,580.8333333333334,544.1458333333333,624.1666666666666
1,6,Z1,Z4,otra_zona,572.5,519.9791666666666,630.0208333333333
1,6,Z1,Z5,otra_zona,580.0,540.0,621.6666666666666
1,6,Z2,Z1,otra_zona,1115.8333333333333,1067.5,1169.1666666666667
1,6,Z2,Z2,refugio_oficial,3050.8333333333335,2955.0,3150.0
1,6,Z2,Z3,otra_zona,1090.8333333333333,1027.5,1150.0
1,6,Z2,Z4,otra_zona,995.0,923.3125,1059.2083333333333
1,6,Z2,Z5,otra_zona,1036.6666666666667,979.1666666666666,1097.5
1,6,Z3,Z1,otra_zona,409.1666666666667,382.5,434.1666666666667
1,6,Z3,Z2,otra_zona,416.6666666666667,381.64583333333337,451.6666666666667
1,6,Z3,Z3,refugio_oficial,3627.5,3516.645833333333,3735.8333333333335
1,6,Z3,Z4,otra_zona,420.0,384.1666666666667,457.5
1,6,Z3,Z5,otra_zona,395.0,356.64583333333337,431.6666666666667
1,6,Z4,Z1,otra_zona,1245.0,1183.3333333333333,1308.3333333333333
1,6,Z4,Z2,otra_zona,1236.6666666666667,1186.6458333333335,1285.8333333333333
1,6,Z4,Z3,otra_zona,1313.3333333333333,1244.1458333333335,1385.0
1,6,Z4,Z4,refugio_oficial,2600.0,2503.3333333333335,2690.0
1,6,Z4,Z5,otra_zona,1209.1666666666667,1161.6666666666667,1257.5
1,6,Z5,Z1,otra_zona,248.33333333333334,225.83333333333334,270.8333333333333
1,6,Z5,Z2,otra_zona,236.66666666666666,212.5,260.0
1,6,Z5,Z3,otra_zona,231.66666666666666,205.83333333333334,259.1666666666667
1,6,Z5,Z4,otra_zona,256.6666666666667,225.83333333333334,290.8333333333333
1,6,Z5,Z5,refugio_oficial,3613.3333333333335,3509.9791666666665,3720.8333333333335
2,12,Z1,Z1,refugio_oficial,7027.5,6908.333333333333,7139.1875
2,12,Z1,Z2,otra_zona,1240.0,1188.3333333333333,1292.5208333333333
2,12,Z1,Z3,otra_zona,1231.6666666666667,1171.6666666666667,1288.3333333333333
2,12,Z1,Z4,otra_zona,1269.1666666666667,1202.4791666666667,1336.6875
2,12,Z1,Z5,otra_zona,1258.3333333333333,1205.8333333333333,1308.3333333333333
2,12,Z2,Z1,otra_zona,2596.6666666666665,2499.9791666666665,2680.0
2,12,Z2,Z2,refugio_oficial,7296.666666666667,7141.645833333334,7456.666666666667
2,12,Z2,Z3,otra_zona,2552.5,2468.3333333333335,2630.0
2,12,Z2,Z4,otra_zona,2570.8333333333335,2485.0,2657.5
2,12,Z2,Z5,otra_zona,2495.8333333333335,2402.5,2587.5
2,12,Z3,Z1,otra_zona,856.6666666666666,797.5,916.6874999999999
2,12,Z3,Z2,otra_zona,792.5,737.4791666666666,844.1874999999999
2,12,Z3,Z3,refugio_oficial,7202.5,7045.833333333333,7357.520833333333
2,12,Z3,Z4,otra_zona,788.3333333333334,749.9791666666666,825.8333333333334
2,12,Z3,Z5,otra_zona,835.0,775.8333333333334,895.8333333333334
2,12,Z4,Z1,otra_zona,3095.0,2998.291666666667,3195.8333333333335
2,12,Z4,Z2,otra_zona,3185.8333333333335,3098.3333333333335,3283.3541666666665
2,12,Z4,Z3,otra_zona,3126.6666666666665,3024.145833333333,3223.3333333333335
2,12,Z4,Z4,refugio_oficial,6727.5,6620.770833333333,6838.354166666666
2,12,Z4,Z5,otra_zona,3068.3333333333335,2979.1666666666665,3156.6666666666665
2,12,Z5,Z1,otra_zona,469.1666666666667,437.5,503.3333333333333
2,12,Z5,Z2,otra_zona,445.8333333333333,416.6666666666667,475.0
2,12,Z5,Z3,otra_zona,465.8333333333333,427.5,502.5
2,12,Z5,Z4,otra_zona,499.1666666666667,457.5,540.0
2,12,Z5,Z5,refugio_oficial,6625.0,6487.5,6766.6875
3,18,Z1,Z1,refugio_oficial,5054.166666666667,4916.645833333334,5194.1875
3,18,Z1,Z2,otra_zona,975.0,920.0,1028.3333333333333
3,18,Z1,Z3,otra_zona,950.8333333333334,893.3125,1007.5
3,18,Z1,Z4,otra_zona,879.1666666666666,834.1666666666666,925.0208333333333
3,18,Z1,Z5,otra_zona,886.6666666666666,845.0,925.0208333333333
3,18,Z2,Z1,otra_zona,1769.1666666666667,1704.1666666666667,1833.3333333333333
3,18,Z2,Z2,refugio_oficial,5139.166666666667,5013.333333333333,5265.041666666666
3,18,Z2,Z3,otra_zona,1715.8333333333333,1640.8333333333333,1793.3333333333333
3,18,Z2,Z4,otra_zona,1766.6666666666667,1671.6666666666667,1865.0
3,18,Z2,Z5,otra_zona,1793.3333333333333,1722.4791666666667,1865.8333333333333
3,18,Z3,Z1,otra_zona,630.8333333333334,580.0,680.0
